Reference,Customer,Invoice,InvoiceDate,Total,Payments,Hours,Pay,Comp,Burden,Pass,Profit,%Profit,Terms,PostedToAR,ReversedTotal,LocationId
28,CENTU1,10604,2017-03-03 00:00:00,157.19,0,6,96,5.14,12.99,7.49,35.57,23.7609,A,True,0,1
30,CHAMB1,10539,2017-03-03 00:00:00,994.56,0,37,592,31.67,80.1,47.36,243.43,25.7,A,True,0,1
184,CLEAR1,10537,2017-03-03 00:00:00,329.97,0,15,195,10.43,26.38,15.71,82.45,26.2362,A,True,0,1
32,CYCDE1,10538,2017-03-03 00:00:00,219.98,0,10,130,6.96,17.59,10.48,54.95,26.2291,A,True,0,1
23,DARWI1,10556,2017-02-17 00:00:00,1356.78,0,41,751.5,39.48,101.68,64.61,399.51,30.9178,A,True,0,1
23,DARWI1,10557,2017-02-17 00:00:00,1681.74,0,50.5,845.5,44.14,114.4,80.08,597.62,37.3125,A,True,0,1
147,ELLIS1,10541,2017-03-03 00:00:00,1635.04,0,62,1013.13,50.49,137.08,77.86,356.48,22.8927,A,True,0,1
26,ELLIS1,10558,2017-03-03 00:00:00,268.38,0,8,152,8.13,20.57,12.78,74.9,29.3036,A,True,0,1
25,ELLIS1,10605,2017-03-03 00:00:00,27297.61,0,940.5,15974.25,813.66,2161.32,1299.89,7048.49,27.112,A,True,0,1
82,GFLEN1,10542,2017-03-03 00:00:00,879.9,0,40,520,27.82,70.36,41.9,219.82,26.2315,A,True,0,1
37,HAEBL1,10543,2017-03-03 00:00:00,1011.89,0,46,598,31.99,80.91,48.19,252.8,26.2322,A,True,0,1
36,HAEBL1,10559,2017-03-03 00:00:00,1341.9,0,40,760,40.66,102.83,63.9,374.51,29.3044,A,True,0,1
39,HAJIS1,10544,2017-03-03 00:00:00,87.99,0,4,52,2.78,7.04,4.19,21.98,26.2291,A,True,0,1
191,HANSD1,10545,2017-03-03 00:00:00,668.04,0,25.5,408,21.83,55.2,31.81,151.2,23.765,A,True,0,1
170,IRONM1,10546,2017-03-03 00:00:00,87.99,0,4,52,2.78,7.04,4.19,21.98,26.2291,A,True,0,1
41,ITCCO1,10547,2017-03-03 00:00:00,1006.74,0,24,600,32.1,81.18,47.94,245.52,25.607,A,True,0,1
42,ITCCO1,10548,2017-03-03 00:00:00,3649.03,0,136,2165.25,112.86,292.96,173.76,904.2,26.0181,A,True,0,1
173,ITCCO1,10549,2017-03-03 00:00:00,230.72,0,5.5,121,6.47,16.37,10.99,75.89,34.5378,A,True,0,1
152,JERIC1,10550,2017-03-03 00:00:00,582.94,0,26.5,344.5,18.43,46.61,27.76,145.64,26.2329,A,True,0,1
43,JOHNSO,10551,2017-03-03 00:00:00,4098.52,0,93,2394,128.08,323.91,195.17,1057.36,27.0885,A,True,0,1
188,JTWCO1,10552,2017-03-03 00:00:00,175.98,0,8,104,5.56,14.07,8.38,43.97,26.2351,A,True,0,1
141,KEITHP,10553,2017-03-03 00:00:00,175.98,0,8,104,5.56,14.07,8.38,43.97,26.2351,A,True,0,1
45,LEDCO1,10566,2017-03-03 00:00:00,1719.31,0,47.5,973.75,48.28,131.75,81.87,483.66,29.5376,A,True,0,1
166,LPSCO1,10561,2017-03-03 00:00:00,1539.83,0,70,997,53.34,134.89,73.33,281.27,19.1797,A,True,0,1
47,MAGIL1,10567,2017-02-24 00:00:00,2396.03,0,90.5,1393.5,73.7,188.54,114.1,626.19,27.4412,A,True,0,1
48,MRCTO1,10568,2017-02-24 00:00:00,1005.9,0,40,640,34.24,86.59,47.9,197.17,20.5814,A,True,0,1
51,PANTH1,10569,2017-02-24 00:00:00,679.22,0,22.5,337.5,18.06,45.66,32.34,245.66,37.9761,A,True,0,1
89,PARAM1,10570,2017-02-24 00:00:00,637.94,0,29,377,20.17,51.01,30.38,159.38,26.2328,A,True,0,1
54,PCLCO1,10615,2017-03-03 00:00:00,2935.28,0,90,1666.75,88.92,225.51,139.78,814.32,29.1297,A,True,0,1
189,PENFO1,10577,2017-03-03 00:00:00,527.92,0,19.25,310,16.48,41.94,25.14,134.36,26.7234,A,True,0,1
55,PERFO1,10578,2017-03-03 00:00:00,4250.87,0,128,2444.5,109.77,330.74,202.42,1163.44,28.7379,A,True,0,1
57,PITTM1,10606,2017-03-03 00:00:00,586.14,0,25,347.5,18.24,47.02,27.91,145.47,26.0592,A,True,0,1
57,PITTM1,10616,2017-03-03 00:00:00,829.71,0,36,476,25.47,64.4,39.51,224.33,28.389,A,True,0,1
185,RAREIN,10555,2017-03-03 00:00:00,808.42,0,36.75,477.75,25.56,64.64,38.5,201.97,26.2326,A,True,0,1
60,ROBER1,10611,2017-03-03 00:00:00,3200.64,0,145.5,1891.5,101.2,255.92,152.41,799.61,26.2319,A,True,0,1
61,SEAGA1,10586,2017-03-03 00:00:00,1376.16,0,37.5,825,44.14,111.62,65.53,329.87,25.1688,A,True,0,1
86,SEAGA1,10587,2017-03-03 00:00:00,1472.22,0,58,872.5,46.68,118.05,70.11,364.88,26.0236,A,True,0,1
87,SEAGA1,10588,2017-03-03 00:00:00,1467.9,0,40,880,47.08,119.06,69.9,351.86,25.1688,A,True,0,1
149,SITKAW,10589,2017-03-03 00:00:00,201.18,0,8,120,6.42,16.24,9.58,48.94,25.5428,A,True,0,1
64,SUNCO1,10597,2017-03-03 00:00:00,8934.11,0,322,5079.5,259.74,687.26,425.43,2482.18,29.1723,A,True,0,1
64,SUNCO1,10608,2017-03-03 00:00:00,1209.86,0,50,715,34.78,96.74,57.61,305.73,26.5333,A,True,0,1
183,TOWER1,10582,2017-02-24 00:00:00,483.95,0,22,286,15.3,38.7,23.05,120.9,26.2313,A,True,0,1
92,UNISO1,10591,2017-03-03 00:00:00,1513.1,0,39,858,45.9,116.09,72.05,421.06,29.219,A,True,0,1
93,UNISO1,10592,2017-03-03 00:00:00,1551.9,0,40,1000,53.5,135.3,73.9,289.2,19.567,A,True,0,1
94,UNISO1,10593,2017-03-03 00:00:00,1551.9,0,40,880,47.08,119.06,73.9,431.86,29.2192,A,True,0,1
66,URBAN1,10594,2017-03-03 00:00:00,2309.84,0,58,1314,64.41,177.78,109.99,643.66,29.2593,A,True,0,1
67,URBAN1,10595,2017-03-03 00:00:00,3262.88,0,108,1951,102.4,263.97,155.38,790.13,25.4265,A,True,0,1
126,URBAN1,10596,2017-03-03 00:00:00,117.89,0,4.5,72,3.85,9.74,5.61,26.69,23.7709,A,True,0,1
68,VENTA1,10583,2017-02-24 00:00:00,2056.77,0,89,1215.5,61.9,164.46,97.94,516.97,26.3918,A,True,0,1
142,VICTO1,10584,2017-02-24 00:00:00,296.96,0,13.5,175.5,9.39,23.75,14.14,74.18,26.2287,A,True,0,1
72,WALLC1,10609,2017-03-03 00:00:00,2275.77,0,88,1376,70.19,186.17,108.37,535.04,24.6858,A,True,0,1
133,WESGR1,10571,2017-02-24 00:00:00,175.98,0,8,104,5.56,14.07,8.38,43.97,26.2351,A,True,0,1
79,WESGR1,10572,2017-02-24 00:00:00,1005.9,0,40,600,32.1,81.18,47.9,244.72,25.5449,A,True,0,1
75,WESGR1,10573,2017-02-24 00:00:00,268.38,0,8,152,8.13,20.57,12.78,74.9,29.3036,A,True,0,1
